Value,Category,Definition
Development,Extrinsic,"Ongoing progress in skills, knowledge, or character."
Discipline,Extrinsic,Consistent self-control and adherence to standards.
Drive,Extrinsic,Inner motivation to pursue and accomplish goals.
Effectiveness,Extrinsic,Producing desired outcomes with impact.
Efficiency,Extrinsic,Using resources well to minimize waste.
Excellence,Extrinsic,Striving for the highest standards and results.
Famous,Extrinsic,Being widely known or celebrated.
Foresight,Extrinsic,Ability to anticipate and plan for the future.
Greatness,Extrinsic,Excellence and distinction of character or achievement.
Growth,Extrinsic,Continuous advancement and personal or collective progress.
Hard work,Extrinsic,Diligent effort applied toward meaningful work.
Improvement,Extrinsic,Making things better through refinement and progress.
Innovation,Extrinsic,"Introducing new ideas, methods, or creations."
Leadership,Extrinsic,Guiding and inspiring others toward a shared vision.
Order,Extrinsic,Arranging things with clarity and precision.
Organization,Extrinsic,Coordinating resources and tasks effectively.
Performance,Extrinsic,Carrying out tasks to achieve strong outcomes.
Persistence,Extrinsic,Steadfast pursuit of goals with resilience.
Potential,Extrinsic,Capacity for growth and achievement yet to be realized.
Power,Extrinsic,Ability to influence or accomplish with strength.
Productivity,Extrinsic,Maximizing output through effective effort.
Professionalism,Extrinsic,Upholding high standards of conduct and expertise.
Prosperity,Extrinsic,"Flourishing in wealth, success, or well-being."
Quality,Extrinsic,Commitment to high standards and excellence.
Recognition,Extrinsic,Acknowledgment and appreciation of contributions.
Results-oriented,Extrinsic,Focusing efforts on achieving tangible outcomes.
Rigor,Extrinsic,Applying strict standards of accuracy and care.
Security,Extrinsic,"Providing safety, stability, and protection."
Significance,Extrinsic,Creating meaningful impact or importance.
Skill,Extrinsic,Developed ability in a specific area.
Skillfulness,Extrinsic,Exercising ability with finesse and precision.
Status,Extrinsic,"Social position, prestige, or standing."
Strength,Extrinsic,Mental or physical resilience and capability.
Structure,Extrinsic,An organized framework for stability and clarity.
Success,Extrinsic,Achievement of goals and fulfillment of aims.
Talent,Extrinsic,Natural aptitude for excellence in a field.
Teamwork,Extrinsic,Collaborating effectively toward shared goals.
Thorough,Extrinsic,Paying careful attention to detail and completeness.
Timeliness,Extrinsic,Completing tasks within appropriate or required time.
Victory,Extrinsic,Triumph in achieving goals or overcoming challenges.
Wealth,Extrinsic,"Abundance of resources, assets, or prosperity."
Winning,Extrinsic,Succeeding in competition or achieving desired outcomes.
Altruism,Moral,Selfless concern for the well-being of others.
Candor,Moral,Openness and honesty in expression.
Charity,Moral,Providing help or relief to those in need.
Commitment,Moral,"Dedication to a cause, task, or relationship."
Communication,Moral,Exchanging ideas and information clearly and effectively.
Community,Moral,Building belonging and mutual support among people.
Compassion,Moral,Showing care and concern for others’ suffering.
Contribution,Moral,Offering value and support for the benefit of others.
Cooperation,Moral,Working together toward shared goals.
Courtesy,Moral,Politeness and respectful behavior toward others.
Devotion,Moral,"Deep love and dedication to a person, cause, or belief."
Dignity,Moral,Carrying oneself with self-respect and honor.
Empathy,Moral,Understanding and sharing the feelings of others.
Empower,Moral,"Enabling others with confidence, resources, or authority."
Equality,Moral,Treating all people with fairness and respect.
Ethical,Moral,Acting in accordance with moral principles.
Fairness,Moral,Practicing impartiality and justice in decisions.
Family,Moral,Cherishing close relationships and shared bonds.
Fidelity,Moral,Faithfulness and loyalty to commitments.
Friendship,Moral,"Close, trusting relationship with others."
Generosity,Moral,"Willingness to give time, energy, or resources freely."
Giving,Moral,Providing without expectation of return.
Goodness,Moral,Moral excellence and virtue in action.
Honesty,Moral,Truthfulness and sincerity in word and deed.
Honor,Moral,Living with honor and respect for principles.
Integrity,Moral,Consistency of actions with moral values.
Justice,Moral,Upholding fairness and law in protecting rights.
Kindness,Moral,Acts of goodwill and compassion toward others.
Lawful,Moral,Living according to rules and justice.
Love,Moral,"Deep affection, care, and connection."
Loyalty,Moral,Faithful support and allegiance.
Moderation,Moral,Practicing balance and avoiding excess.
Respect,Moral,Holding others in esteem and treating them with care.
Responsibility,Moral,Accepting and fulfilling obligations and duties.
Restraint,Moral,Exercising control and moderation of impulses.
Reverence,Moral,Deep respect for what is sacred or highly valued.
Selfless,Moral,Putting the needs of others before oneself.
Service,Moral,Helping and supporting others through meaningful action.
Sharing,Moral,"Offering resources, time, or knowledge generously with others."
Sincerity,Moral,"Genuine honesty in words, feelings, and actions."
Stewardship,Moral,Responsible care and management of what is entrusted.
Support,Moral,"Providing help, encouragement, or strength to others."
Sustainability,Moral,Meeting present needs without harming future generations.
Temperance,Moral,Practicing self-control and moderation in all things.
Tolerance,Moral,Respecting and accepting differences in others.
Traditional,Moral,Honoring established customs and values.
Transparency,Moral,Openness and clarity in actions and decisions.
Trust,Moral,Confidence in the reliability and integrity of others.
Trustworthy,Moral,Being reliable and deserving of confidence.
Truth,Moral,Alignment with facts and reality; honesty.
Understanding,Moral,"Deep comprehension of people, ideas, or situations."
Unity,Moral,Coming together in harmony toward common goals.
Valor,Moral,Demonstrating courage and strength in the face of danger.
Welcoming,Moral,Creating an atmosphere of inclusion and acceptance.
